Year,Guatemala,México,Perú
1977,0.255451136,,
1978,0.355813258,,
1979,0.341900149,0.131538462,
1980,0.33254218,0.506485631,
1981,0.284635482,0.462192402,
1982,0.122748654,0.664105733,
1983,0.043093922,0.890757645,
1984,0.035902852,0.847165596,
1985,0.010286318,0.82778493,
1986,0.009679252,1.316238373,
1987,0.001411552,1.345391126,
1988,0.582789026,1.342976259,
1989,1.010614501,1.261513799,
1990,1.551608549,1.185821058,0.329415851
1991,1.901957634,0.967609763,0.430965877
1992,2.208634155,1.018841412,0.667291283
1993,2.112291392,0.7946302,0.829694991
1994,2.191287361,0.780923919,1.053872732
1995,2.439373145,1.213117609,1.123557703
1996,2.394921447,1.204207757,1.080495775
1997,2.293419891,1.10824352,1.09376973
1998,2.353639702,1.234799564,1.165734934
1999,2.541704999,1.107674283,1.33499844
2000,3.090908509,1.062956814,1.386930755
2001,3.44333936,1.340845582,1.447643938
2002,7.827117655,1.428488146,1.287721791
2003,9.95052324,2.283402864,1.478775356
2004,11.14420029,2.539084255,1.696473842
2005,11.44956783,2.591733014,1.893315884
2006,12.43966584,2.721259146,2.072910746
2007,12.61980642,2.553430045,2.085538026
2008,11.49403331,2.346103221,2.027069619
2009,10.77994156,2.452735852,1.993576062
2010,10.38606325,2.087373049,1.717568742
2011,9.670274475,1.986096318,1.570176087
2012,10.01185236,1.932298949,1.447167998
2013,10.00768644,1.819525111,1.345713969
2014,9.941580632,1.88558627,1.313087423
2015,10.42337023,2.238578114,1.435714725
2016,11.14649327,2.660288002,1.50283872
2017,11.71444212,2.784549546,1.446035418
2018,12.89148624,2.926061567,1.448841263
2019,13.83484713,3.073951994,1.455730657
2020,14.6935073,3.992703309,1.45435203
